,,,Totals,,Position Estimate,,,,,+/- Per 100 Poss.,,Turnovers,,Fouls Committed,,Fouls Drawn,,Misc.,,
Rk,Player,Age,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
1,Jayson Tatum,25,74,2645,,,26%,72%,2%,10.9,-1.2,91,53,54,32,208,4,922,44,61
2,Derrick White,29,73,2381,20%,76%,4%,,,12.4,2.9,69,21,79,13,73,27,910,19,28
3,Jaylen Brown,27,70,2343,1%,30%,68%,2%,,8.2,-7.7,64,61,74,27,156,10,619,46,72
4,Jrue Holiday,33,69,2263,69%,31%,,,,9.5,-4.1,70,37,56,4,29,21,822,7,28
5,Payton Pritchard,26,82,1825,100%,,,,,11.9,1.3,31,12,37,5,23,7,696,4,27
6,Sam Hauser,26,79,1741,,12%,54%,33%,1%,13.4,3.9,17,8,56,3,4,5,211,0,11
7,Al Horford,37,65,1740,,,,51%,49%,11.4,0.3,20,11,54,13,9,1,426,2,11
8,Kristaps PorziÅ†Ä£is,28,57,1690,,,,5%,95%,10.6,-1.2,36,23,89,23,127,7,281,27,18
9,Luke Kornet,28,63,983,,,,,100%,11.2,-0.1,11,5,54,5,26,2,174,6,12
10,Oshae Brissett,25,55,630,,15%,56%,29%,1%,10.4,-1,8,7,29,2,40,0,116,6,9
11,Svi Mykhailiuk,26,41,413,,48%,50%,2%,,16.9,6.3,11,0,15,1,4,4,81,1,4
12,Neemias Queta,24,28,333,,,,7%,93%,19.9,9.4,2,2,34,6,15,1,54,4,12
13,Xavier Tillman Sr.,25,20,274,,,,56%,44%,10.2,-1.1,1,1,10,2,4,0,53,1,3
14,Dalano Banton,24,24,171,38%,54%,8%,,,4.5,-7,6,1,11,3,10,1,46,2,3
15,Jaden Springer,21,17,130,19%,82%,,,,16.3,5.2,1,4,9,2,3,4,21,0,2
16,Lamar Stevens,26,19,122,,,10%,69%,22%,4.4,-7,3,6,7,0,6,0,20,1,3
17,Jordan Walsh,19,9,83,,20%,69%,12%,,30.2,19.3,0,1,4,1,1,1,13,0,0
18,JD Davison,21,8,39,34%,58%,8%,,,30.6,19.6,2,0,4,0,2,0,23,0,0
19,Drew Peterson,24,3,23,,,17%,72%,12%,22.1,10.9,0,1,1,0,0,0,2,0,0
