,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,,,Corner 3s,,,Heaves,
Rk,Player,Age,G,MP,FG%,Dist.,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1,Luka Dončić,24,70,2624,0.487,16.9,,0.55,0.123,0.192,0.152,0.082,0.45,,0.573,0.838,0.569,0.442,0.422,0.382,,0.177,0.299,,0.001,2,,0.032,0.25,,5,0
2,Tim Hardaway Jr.,31,79,2120,0.402,19.7,,0.388,0.093,0.087,0.102,0.106,0.612,,0.478,0.725,0.365,0.45,0.379,0.353,,0.685,0.858,,0.016,15,,0.253,0.391,,3,0
3,Kyrie Irving,31,58,2030,0.497,15.1,,0.628,0.144,0.226,0.171,0.087,0.372,,0.548,0.675,0.527,0.518,0.449,0.411,,0.375,0.653,,0.006,6,,0.166,0.514,,1,0
4,Derrick Jones Jr.,26,76,1783,0.483,13.2,,0.517,0.327,0.168,0.018,0.004,0.483,,0.613,0.691,0.494,0.444,0,0.343,,0.764,0.988,,0.158,62,,0.586,0.343,,0,0
5,Josh Green,23,57,1505,0.479,14.5,,0.5,0.265,0.158,0.045,0.032,0.5,,0.572,0.768,0.339,0.294,0.5,0.385,,0.748,0.958,,0.091,31,,0.626,0.385,,0,0
6,Dereck Lively II,19,55,1294,0.747,2.4,,0.993,0.75,0.23,0.01,0.003,0.007,,0.752,0.833,0.515,0,1,0,,0.81,,,0.527,141,,1,0,,0,0
7,Grant Williams,25,47,1242,0.413,18.6,,0.338,0.132,0.132,0.05,0.022,0.662,,0.486,0.69,0.333,0.375,0.429,0.376,,0.75,0.987,,0.013,2,,0.386,0.37,,1,0
8,Dante Exum,28,55,1088,0.533,11.9,,0.642,0.328,0.238,0.053,0.023,0.358,,0.557,0.697,0.375,0.688,0.143,0.491,,0.528,0.981,,0.056,14,,0.426,0.457,,2,0
9,Jaden Hardy,21,73,989,0.407,16.4,,0.532,0.184,0.134,0.129,0.086,0.468,,0.447,0.568,0.344,0.435,0.366,0.362,,0.404,0.84,,0.023,9,,0.254,0.351,,4,0
10,P.J. Washington,25,29,935,0.421,16.1,,0.44,0.159,0.242,0.033,0.007,0.56,,0.556,0.729,0.479,0.4,0,0.314,,0.824,0.981,,0.063,17,,0.396,0.239,,0,0
11,Maxi Kleber,32,43,871,0.432,18,,0.37,0.178,0.075,0.082,0.034,0.63,,0.574,0.769,0.273,0.583,0.2,0.348,,0.839,0.969,,0.041,6,,0.348,0.219,,0,0
12,Dwight Powell,32,63,836,0.679,2.4,,0.972,0.811,0.16,0,0,0.028,,0.689,0.767,0.294,,,0.333,,0.62,1,,0.217,18,,0.667,0.5,,0,0
13,Daniel Gafford,25,29,623,0.78,2.2,,1,0.72,0.274,0.005,0,0,,0.78,0.866,0.569,0,,,,0.807,,,0.462,83,,,,,0,0
14,Seth Curry,33,36,457,0.372,19.9,,0.448,0.062,0.076,0.069,0.241,0.552,,0.385,0.778,0.455,0,0.371,0.363,,0.48,0.862,,0,0,,0.35,0.429,,0,0
15,Olivier-Maxence Prosper,21,40,336,0.385,12.8,,0.567,0.356,0.135,0.038,0.038,0.433,,0.458,0.595,0.214,0,0.5,0.289,,0.704,1,,0.125,13,,0.533,0.25,,0,0
16,A.J. Lawson,23,42,311,0.446,11.8,,0.587,0.364,0.198,0.008,0.017,0.413,,0.577,0.773,0.208,0,1,0.26,,0.61,1,,0.107,12,,0.64,0.25,,0,0
17,Richaun Holmes,30,23,237,0.559,3.1,,1,0.678,0.305,0.017,0,0,,0.559,0.675,0.333,0,,,,0.606,,,0.169,10,,,,,0,0
18,Markieff Morris,34,26,216,0.338,20.4,,0.382,0.044,0.103,0.118,0.118,0.618,,0.308,0.333,0.429,0.25,0.25,0.357,,0.5,0.867,,0,0,,0.238,0.5,,0,0
19,Brandon Williams,24,17,113,0.37,12.2,,0.722,0.259,0.259,0.093,0.111,0.278,,0.436,0.571,0.286,0.4,0.5,0.2,,0.353,0.667,,0.037,1,,0.133,0,,0,0
20,Greg Brown III,22,6,40,0.455,8.5,,0.727,0.636,0.091,0,0,0.273,,0.5,0.571,0,,,0.333,,0.75,1,,0.273,2,,0,,,0,0
21,Dexter Dennis,24,4,30,0.526,14.3,,0.579,0.316,0.053,0.105,0.105,0.421,,0.818,1,1,0.5,0.5,0.125,,0.444,1,,0.053,1,,0,,,0,0
22,Alex Fudge,20,2,26,0.556,9.4,,0.667,0.556,0.111,0,0,0.333,,0.667,0.6,1,,,0.333,,0.5,1,,0.333,2,,0.667,0.5,,0,0
