,,,,,,,,,,First Round Seed,,,,,,,,,,,
Rk,Eastern Conference,W,L,W/L%,SOS,SRS,Current,Playoffs,Division,1,2,3,4,5,6,7,8,Win 1st Rd,Win Semi,Win Conf,Win Finals
1,Boston Celtics,64,18,0.78,-0.6,10.75,64-18,100.00%,100.00%,100,,,,,,,,100.00%,100.00%,97.40%,79.60%
2,New York Knicks,50,32,0.61,-0.23,4.36,50-32,100.00%,,,100,,,,,,,100.00%,0.00%,,
3,Milwaukee Bucks,49,33,0.598,-0.18,2.44,49-33,100.00%,100.00%,,,100,,,,,,0.00%,0.00%,,
4,Cleveland Cavaliers,48,34,0.585,-0.44,1.98,48-34,100.00%,,,,,100,,,,,100.00%,0.00%,,
5,Orlando Magic,47,35,0.573,-0.55,1.48,47-35,100.00%,100.00%,,,,,100,,,,0.00%,0.00%,,
6,Indiana Pacers,47,35,0.573,-0.3,2.75,47-35,100.00%,,,,,,,100,,,100.00%,100.00%,2.70%,1.00%
7,Philadelphia 76ers,47,35,0.573,-0.54,2.51,47-35,100.00%,,,,,,,,100,,0.00%,0.00%,,
8,Miami Heat,46,36,0.561,-0.66,1.1,46-36,100.00%,,,,,,,,,100,0.00%,0.00%,,
9,Chicago Bulls,39,43,0.476,-0.33,-1.77,39-43,,,,,,,,,,,,,,
10,Atlanta Hawks,36,46,0.439,-0.19,-2.38,36-46,,,,,,,,,,,,,,
11,Brooklyn Nets,32,50,0.39,-0.13,-3.02,32-50,,,,,,,,,,,,,,
12,Toronto Raptors,25,57,0.305,-0.01,-6.45,25-57,,,,,,,,,,,,,,
13,Charlotte Hornets,21,61,0.256,0.13,-10.12,21-61,,,,,,,,,,,,,,
14,Washington Wizards,15,67,0.183,0,-9.29,15-67,,,,,,,,,,,,,,
15,Detroit Pistons,14,68,0.171,0.05,-9.06,14-68,,,,,,,,,,,,,,
