,,,,,,,,% of FGA by Distance,,,,,,,FG% by Distance,,,,,,,% of FG Ast'd,,,Dunks,PTS,,Corner 3s,,,Heaves,
Rk,Player,Age,G,MP,FG%,Dist.,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,0-3,3-Oct,Oct-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1,Jayson Tatum,25,74,2645,0.471,15.4,,0.573,0.222,0.167,0.092,0.092,0.427,,0.542,0.741,0.441,0.389,0.397,0.376,,0.357,0.485,,0.065,86,,0.059,0.361,,0,0
2,Derrick White,29,73,2381,0.461,18,,0.41,0.114,0.192,0.08,0.024,0.59,,0.555,0.771,0.509,0.373,0.5,0.396,,0.419,0.801,,0.015,13,,0.202,0.42,,0,0
3,Jaylen Brown,27,70,2343,0.499,13,,0.674,0.247,0.237,0.119,0.07,0.326,,0.57,0.723,0.487,0.52,0.398,0.354,,0.429,0.634,,0.075,76,,0.205,0.381,,0,0
4,Jrue Holiday,33,69,2263,0.48,15.7,,0.533,0.163,0.219,0.099,0.052,0.467,,0.526,0.688,0.49,0.397,0.417,0.429,,0.461,0.754,,0.01,5,,0.261,0.619,,1,0
5,Payton Pritchard,26,82,1825,0.468,19.1,,0.398,0.132,0.117,0.083,0.066,0.602,,0.593,0.762,0.486,0.566,0.476,0.385,,0.273,0.85,,0,0,,0.251,0.438,,5,1
6,Sam Hauser,26,79,1741,0.446,22.7,,0.167,0.072,0.048,0.027,0.02,0.833,,0.559,0.675,0.407,0.467,0.636,0.424,,0.731,0.975,,0.016,9,,0.241,0.518,,2,0
7,Al Horford,37,65,1740,0.511,17.2,,0.384,0.184,0.155,0.024,0.021,0.616,,0.658,0.818,0.523,0.6,0.333,0.419,,0.726,1,,0.045,18,,0.384,0.424,,0,0
8,Kristaps Porziņģis,28,57,1690,0.516,14.6,,0.61,0.251,0.176,0.126,0.057,0.39,,0.606,0.751,0.538,0.505,0.395,0.375,,0.716,0.991,,0.128,89,,0.024,0.143,,2,0
9,Luke Kornet,28,63,983,0.7,2.1,,0.995,0.773,0.212,0.01,0,0.005,,0.698,0.79,0.372,0.5,,1,,0.709,1,,0.404,72,,0,,,0,0
10,Oshae Brissett,25,55,630,0.444,11.4,,0.641,0.34,0.261,0.013,0.026,0.359,,0.541,0.673,0.4,0.5,0.25,0.273,,0.66,1,,0.144,20,,0.436,0.333,,0,0
11,Svi Mykhailiuk,26,41,413,0.416,21.9,,0.212,0.109,0.036,0.051,0.015,0.788,,0.517,0.667,0.8,0.143,0,0.389,,0.733,0.929,,0.036,3,,0.278,0.533,,1,0
12,Neemias Queta,24,28,333,0.644,3.2,,1,0.567,0.375,0.048,0.01,0,,0.644,0.78,0.462,0.4,1,,,0.701,,,0.288,28,,,,,0,0
13,Xavier Tillman Sr.,25,20,274,0.515,13.1,,0.576,0.197,0.318,0.045,0.015,0.424,,0.684,0.923,0.571,0.333,1,0.286,,0.808,1,,0.045,3,,0.643,0.222,,0,0
14,Dalano Banton,24,24,171,0.373,11.3,,0.686,0.275,0.353,0.02,0.039,0.314,,0.486,0.643,0.444,0,0,0.125,,0.412,1,,0.078,4,,0.313,0.2,,0,0
15,Jaden Springer,21,17,130,0.433,13,,0.633,0.167,0.333,0.133,0,0.367,,0.579,1,0.4,0.5,,0.182,,0.273,1,,0.033,1,,0.273,0,,0,0
16,Lamar Stevens,26,19,122,0.467,8.7,,0.822,0.444,0.222,0.089,0.067,0.178,,0.486,0.75,0.1,0,0.667,0.375,,0.667,1,,0.178,7,,0.75,0.333,,0,0
17,Jordan Walsh,19,9,83,0.4,16.1,,0.4,0.267,0.133,0,0,0.6,,0.667,0.75,0.5,,,0.222,,0.75,1,,0.333,4,,0.444,0,,0,0
18,JD Davison,21,8,39,0.417,19.2,,0.417,0.083,0.167,0,0.167,0.583,,0.4,1,0,,0.5,0.429,,1,1,,0,0,,0.143,0,,0,0
19,Drew Peterson,24,3,23,0.667,21.3,,0.167,0.167,0,0,0,0.833,,1,1,,,,0.6,,1,1,,0.167,1,,0.2,0,,0,0
